Provinsi,2018,2019,2020,2021,2022,2023,2024
Aceh,5243000,5316000,5554000,5274000,5334000,5409000,5554000
Sumatera Utara,14476000,14639000,15588000,14799000,14970000,15180000,15588000
Sumatera Barat,5411000,5479000,5836000,5534000,5597000,5677000,5836000
Riau,6717000,6835000,6728000,6394000,6466000,6555000,6728000
Kepulauan Riau,2174000,2241000,2183000,2064000,2089000,2121000,2183000
Jambi,3527000,3566000,3724000,3548000,3586000,3633000,3724000
Sumatera Selatan,8391000,8497000,8837000,8467000,8548000,8647000,8837000
Kepulauan Bangka Belitung,1432000,1451000,1531000,1455000,1471000,1492000,1531000
Bengkulu,1948000,1971000,2112000,2010000,2032000,2059000,2112000
Lampung,8377000,8457000,9419000,9007000,4438000,4496000,9419000
DKI Jakarta,10428000,10504000,10684000,10562000,10605000,10640000,10684000
Jawa Barat,48475000,49023000,50345000,48274000,48738000,49306000,50345000
Banten,12530000,12714000,12431000,11904000,12023000,12167000,12431000
Jawa Tengah,34358000,34552000,37892000,36516000,36811000,37180000,37892000
Daerah Istimewa Yogyakarta,3818000,3868000,3759000,3668000,3687000,3712000,3759000
Jawa Timur,39521000,39744000,41814000,40665000,40921000,41230000,41814000
Kalimantan Barat,4985000,5045000,5695000,5414000,5474000,5549000,5695000
Kalimantan Tengah,2612000,2649000,2809000,2670000,2700000,2737000,2809000
Kalimantan Selatan,4162000,4216000,4273000,4073000,4116000,4170000,4273000
Kalimantan Timur,3573000,3619000,4045000,3766000,3803000,3856000,4045000
Kalimantan Utara,682000,695000,739000,701000,710000,720000,739000
Sulawesi Utara,2474000,2494000,2701000,2621000,2639000,2660000,2701000
Gorontalo,1166000,1176000,1227000,1171000,1183000,1198000,1227000
Sulawesi Tengah,3001000,3042000,3121000,2985000,3015000,3051000,3121000
Sulawesi Selatan,8748000,8819000,9463000,9073000,9156000,9260000,9463000
Sulawesi Barat,1340000,1359000,1503000,1419000,1436000,1458000,1503000
Sulawesi Tenggara,2623000,2663000,2793000,2624000,2659000,2704000,2793000
Bali,4309000,4362000,4433000,4317000,4343000,4374000,4433000
Nusa Tenggara Barat,5077000,5152000,5646000,5320000,5387000,5474000,5646000
Nusa Tenggara Timur,5360000,5437000,5656000,5325000,5394000,5481000,5656000
Maluku,1749000,1768000,1945000,1848000,1869000,1895000,1945000
Maluku Utara,1218000,1235000,1355000,1282000,1299000,1318000,1355000
Papua Barat,941000,963000,1205000,1134000,1149000,1168000,1205000
Papua,3300000,3347000,4542000,4303000,4356000,4429000,4542000